Suburb,Postcode,HouseMedian$,UpdatedYr,UpdateMonth
Epping,2121,720000,2016,6
Erina,2250,600000,2016,6
Erina Heights,2260,600000,2016,6
Ermington,2115,720000,2016,6
Erskine Park,2759,589000,2016,6
Erskineville,2043,930000,2016,6
Eschol Park,2558,545000,2016,6
Ettalong Beach,2257,600000,2016,6
Eveleigh,2015,930000,2016,6
Fairfield,1807,708000,2016,6
Fairfield,2165,700000,2016,6
Fairfield East,2165,700000,2016,6
Fairfield Heights,2165,700000,2016,6
Fairfield West,2165,700000,2016,6
Fairlight,2094,1673000,2016,6
Fairy Meadow,2519,595000,2016,6
Farley,2320,417000,2016,6
Farmborough Heights,2526,595000,2016,6
Fassifern,2283,491000,2016,6
Fennell Bay,2283,491000,2016,6
Fernances,2775,635000,2016,6
Fernhill,2519,595000,2016,6
Ferodale,,449000,2016,6
Figtree,2525,595000,2016,6
Fingal Bay,,449000,2016,6
Fishermans Bay,,449000,2016,6
Fishing Point,2283,491000,2016,6
Five Dock,2046,1006000,2016,6
Flemington,2140,715000,2016,6
Fletcher,2287,491000,2016,6
Floraville,2280,491000,2016,6
Foleys Hill,,1391000,2016,6
Forest Lodge,2037,930000,2016,6
Forestville,1856,1035000,2016,6
Forresters Beach,2260,600000,2016,6
Fountaindale,2258,480000,2016,6
Fox Valley,,1600000,2016,6
Foxground,2534,688000,2016,6
Freemans Reach,2756,635000,2016,6
Freemans Waterhole,2323,417000,2016,6
Frenchs Forest,2086,1035000,2016,6
Freshwater,2096,1035000,2016,6
Fullerton Cove,,449000,2016,6
Galston,2159,1089000,2016,6
Garden Suburb,2289,491000,2016,6
Gateshead,2290,491000,2016,6
Georges Hall,1924,820000,2016,6
Georges Hall,2198,700000,2016,6
Georgetown,2298,491000,2016,6
Gerringong,2534,688000,2016,6
Gerroa,2534,688000,2016,6
Gilead,2560,545000,2016,6
Gillieston Heights,2321,417000,2016,6
Gingkin,2787,578000,2016,6
Girraween,2145,708000,2016,6
Gladesville,2111,1780000,2016,6
Glebe,2037,930000,2016,6
Gledswood Hills,2557,700000,2016,6
Glen Alpine,2560,545000,2016,6
Glen Martin,2321,417000,2016,6
Glen William,2321,417000,2016,6
Glendenning,2761,632000,2016,6
Glenfield,2167,545000,2016,6
Glenhaven,2156,1089000,2016,6
Glenmore Park,2745,589000,2016,6
Glenning Valley,,480000,2016,6
Glenorie,2157,1089000,2016,6
Glenwood,2768,632000,2016,6
Glenworth Valley,2250,600000,2016,6
Glossodia,2756,635000,2016,6
Gordon,2072,1600000,2016,6
Gore Hill,2065,1486000,2016,6
Gorokan,2263,480000,2016,6
Gosford,2250,600000,2016,6
Gosforth,2320,417000,2016,6
Granville,1855,708000,2016,6
Granville,2142,720000,2016,6
Grays Point,2232,900000,2016,6
Great Mackerel Beach,,1391000,2016,6
Green Hills,2323,417000,2016,6
Green Point,2251,600000,2016,6
Green Valley,2168,695000,2016,6
Greenacre,2190,820000,2016,6
Greendale,2745,695000,2016,6
Greenfield Park,2176,700000,2016,6
Greengrove,2250,600000,2016,6
Greenhills Beach,,900000,2016,6
Greenwich,,835000,2016,6
Gregory Hills,2557,700000,2016,6
Greta,2334,316000,2016,6
Greystanes,1791,708000,2016,6
Grose Vale,2753,635000,2016,6
Grose Wold,2753,635000,2016,6
Guildford,1817,708000,2016,6
Guildford West,2161,708000,2016,6
Gunderman,2775,600000,2016,6
Gurnang,2787,578000,2016,6
Gwandalan,2259,480000,2016,6
Gwynneville,2500,595000,2016,6
Gymea,2227,900000,2016,6
Gymea Bay,,900000,2016,6
Haberfield,,825000,2016,6
Halekulani,2262,480000,2016,6
Hamilton,2303,491000,2016,6
Hamilton East,2303,491000,2016,6
Hamilton North,2292,491000,2016,6
Hamilton South,2303,491000,2016,6
Hamlyn Terrace,,480000,2016,6
Hammondville,2170,695000,2016,6
Hardys Bay,2257,600000,2016,6
Harpers Hill,2321,417000,2016,6
Harrington Park,2567,700000,2016,6
Harris Park,2150,720000,2016,6
Hassall Grove,2761,632000,2016,6
Haymarket,2000,930000,2016,6
Haywards Bay,2530,595000,2016,6
Hazelgrove,2787,578000,2016,6
