stop_id,stop_name,stop_lat,stop_long,mode,state code
,East Hills Thompson Lane Path,-33.96201112,150.9847269,train,NSW
,East Hills Park Rd Ramp,-33.96157358,150.9844493,train,NSW
,East Hills Park Rd Stairs,-33.96164228,150.9843435,train,NSW
,East Hills Park Rd Ramp,-33.96173087,150.9842552,train,NSW
,East Maitland Melbourne St Stairs,-32.74457268,151.5874741,train,NSW
,East Richmond Bourke St Ramp,-33.60180319,150.7588294,train,NSW
,East Richmond Bourke St Stairs,-33.6017457,150.7587291,train,NSW
,Eastwood Railway Pde Ramp,-33.78992993,151.0826671,train,NSW
,Eastwood Railway Pde Ramp,-33.79041058,151.0826361,train,NSW
,Eastwood Railway Pde Lift,-33.79017064,151.0825639,train,NSW
,Eastwood West Pde Lift,-33.79014905,151.0820022,train,NSW
,Eastwood West Pde Path,-33.79014802,151.0819726,train,NSW
,Edgecliff New South Head Rd Path,-33.87893677,151.236154,train,NSW
,Edmondson Park Soliders Pde Lift,-33.96930476,150.8588642,train,NSW
,Edmondson Park Soliders Pde Stairs,-33.96936246,150.8588449,train,NSW
,Emu Plains Old Bathurst Rd Stairs,-33.74577768,150.6714125,train,NSW
,Emu Plains Mackellar St Stairs,-33.74552422,150.6713807,train,NSW
,Emu Plains Old Bathurst Rd Lift,-33.74582701,150.6713326,train,NSW
,Emu Plains Mackellar St Lift,-33.74565742,150.6712836,train,NSW
,Engadine Princes Hwy Ramp,-34.06753979,151.0148428,train,NSW
,Engadine Princes Hwy Ramp,-34.06719539,151.0147353,train,NSW
,Engadine Princes Hwy Lift,-34.06776904,151.0146815,train,NSW
,Engadine Princes Hwy Lift,-34.06738183,151.0145516,train,NSW
,Epping Langston Pl Path,-33.77254801,151.0822785,train,NSW
,Epping Beecroft Rd Stairs,-33.77284112,151.0818724,train,NSW
,Epping Beecroft Rd Lift,-33.77265225,151.0818045,train,NSW
,Epping Beecroft Rd Stairs,-33.77291584,151.0816408,train,NSW
,Epping Beecroft Rd Lift,-33.77272037,151.0815679,train,NSW
,Ersineville Erskineville Rd Path,-33.90005302,151.1855565,train,NSW
,Exeter Ringwood Rd Path,-34.61346677,150.3177998,train,NSW
,Exeter Bundanoon Rd Path,-34.61337723,150.3173592,train,NSW
,Exhibition Centre LR Darling Dr Ramp,-33.87677819,151.1994751,train,NSW
,Exhibition Centre LR Pyrmont St Stairs,-33.87678771,151.1992504,train,NSW
,Fairfield Dale St Path,-33.87255271,150.957049,train,NSW
,Fairfield Dale St Stairs,-33.87250991,150.9570068,train,NSW
,Fairfield The Crescent  Path,-33.87228222,150.9568998,train,NSW
,Fairfield The Crescent  Stairs,-33.87238918,150.9568642,train,NSW
,Fairfield Dale St Lift,-33.87264464,150.9568189,train,NSW
,Fairfield The Crescent  Lift,-33.87249718,150.956712,train,NSW
,Fairy Meadow Elliotts Rd Stairs,-34.39509691,150.8965771,train,NSW
,Fairy Meadow Elliotts Rd Stairs,-34.39505996,150.8964522,train,NSW
,Fassifern Tucker Cl Ramp,-32.98567466,151.5812081,train,NSW
,Fassifern Tucker Cl Stairs,-32.98568106,151.5811753,train,NSW
,Fassifern Tucker Cl Ramp,-32.98557663,151.5808417,train,NSW
,Faulconbridge Great Western Hwy Ramp,-33.69681647,150.5349352,train,NSW
,Faulconbridge Great Western Hwy Stairs,-33.69678014,150.5349261,train,NSW
,Faulconbridge Great Western Hwy Stairs,-33.69654047,150.534819,train,NSW
,Faulconbridge Great Western Hwy Stairs,-33.69633199,150.534567,train,NSW
,Faulconbridge Great Western Hwy Ramp,-33.69636984,150.5344309,train,NSW
,Fish Market LR Miller St Path,-33.87046367,151.1921783,train,NSW
,Fish Market LR Miller St Path,-33.87076898,151.1916529,train,NSW
,Flemington The Crescent  Stairs,-33.86515478,151.0706765,train,NSW
,Flemington The Crescent  Stairs,-33.86389281,151.0702391,train,NSW
,Gerringong Belinda St Ramp,-34.74477882,150.8176504,train,NSW
,Glebe LR Burton St Stairs,-33.87707686,151.1875647,train,NSW
,Glebe LR Bayview St Ramp,-33.87729496,151.187253,train,NSW
,Glenbrook Burfitt Pde Ramp,-33.76902646,150.6212638,train,NSW
,Glenfield Railway Pde Stairs,-33.97207776,150.8935775,train,NSW
,Glenfield service road  Stairs,-33.97173912,150.893269,train,NSW
,Glenfield Railway Pde Lift,-33.97228674,150.8932557,train,NSW
,Glenfield service road  Lift,-33.97183034,150.8931736,train,NSW
,Glenfield Railway Pde Stairs,-33.9724757,150.8931251,train,NSW
,Gordon Werona Ave Ramp,-33.75598413,151.1548641,train,NSW
,Gordon Werona Ave Ramp,-33.75535054,151.154396,train,NSW
,Gordon St Johns Ave Stairs,-33.75612016,151.1541758,train,NSW
,Gordon St Johns Ave Ramp,-33.75596499,151.1540965,train,NSW
,Gordon Wade Lane Ramp,-33.75568255,151.1539778,train,NSW
,Gosford Burns Cres Lift,-33.42348002,151.3419443,train,NSW
,Gosford Burns Cres Stairs,-33.42348165,151.341911,train,NSW
,Gosford Showground Rd Stairs,-33.4233302,151.3414142,train,NSW
,Gosford Showground Rd Path,-33.42338314,151.3414013,train,NSW
,Goulburn Sloane St Path,-34.75901982,149.7205882,train,NSW
,Goulburn Park Rd Path,-34.75812698,149.7192494,train,NSW
,Granville Memorial Dr Ramp,-33.8327767,151.0114916,train,NSW
