stop_id,stop_name,stop_lat,stop_long,mode,state_code
30469,Western Heights Sec Col/Anakie Rd (Bell Post Hill),-38.104473,144.332809,bus,VIC
30470,Curtin St/Anakie Rd (Bell Park),-38.106958,144.332342,bus,VIC
30471,Deakin St/Anakie Rd (Bell Park),-38.108376,144.332074,bus,VIC
30472,Anakie Rd/Separation St (Bell Park),-38.109437,144.332389,bus,VIC
30473,Hughes St/Separation St (Bell Park),-38.10965,144.33424,bus,VIC
30474,Separation St/McClelland St (Bell Park),-38.110472,144.337483,bus,VIC
30475,Nelson Park School/McClelland St (Bell Park),-38.112787,144.337057,bus,VIC
30476,RSL Nelson Square Village/McClelland St (Bell Park),-38.115684,144.336484,bus,VIC
30477,Milton St/Jasmine St (Bell Park),-38.117662,144.334678,bus,VIC
30478,Jasmine St/Ballarat Rd (Bell Park),-38.118791,144.332846,bus,VIC
30479,Calvert St/Ballarat Rd (Hamlyn Heights),-38.120572,144.334276,bus,VIC
30480,Grace McKellar Centre/Ballarat Rd (Hamlyn Heights),-38.123289,144.336492,bus,VIC
30482,Thompson Rd/Ballarat Rd (North Geelong),-38.127552,144.340113,bus,VIC
30483,Church St/Ballarat Rd (North Geelong),-38.130132,144.342209,bus,VIC
30484,Geelong West Oval/Church St (North Geelong),-38.131409,144.3453,bus,VIC
30485,Church St/Pakington St (Geelong West),-38.132532,144.349948,bus,VIC
30486,Saywell St/Church St (North Geelong),-38.131697,144.347697,bus,VIC
30487,Britannia St/Pakington St (Geelong West),-38.134865,144.349498,bus,VIC
30488,Waterloo St/Pakington St (Geelong West),-38.136444,144.349213,bus,VIC
30489,O'Connell St/Pakington St (Geelong West),-38.139341,144.34864,bus,VIC
30490,Yarra St/Ryrie St (Geelong),-38.150233,144.363353,bus,VIC
30492,Geelong Hospital/Ryrie St (Geelong),-38.151016,144.366121,bus,VIC
30493,Fitzroy St/Sydney Pde (Geelong),-38.152756,144.368979,bus,VIC
30494,Myers St/Ormond Rd (East Geelong),-38.155126,144.371826,bus,VIC
30495,McKillop St/Ormond Rd (East Geelong),-38.157493,144.374092,bus,VIC
30496,Meakin St/Ormond Rd (East Geelong),-38.160125,144.376577,bus,VIC
30497,Humble St/Ormond Rd (East Geelong),-38.161561,144.377918,bus,VIC
30498,Eastern Cemetery/Ormond Rd (East Geelong),-38.164756,144.380964,bus,VIC
30499,East Geelong Uniting Church/Ormond Rd (East Geelong),-38.167554,144.383603,bus,VIC
30500,Bellarine Village Shopping Centre/Bellarine Hwy (Newcomb),-38.16954,144.388223,bus,VIC
30501,Newcomb Central SC/Bellarine Hwy (Newcomb),-38.170586,144.39193,bus,VIC
30502,Newcomb Secondary College/Bellarine Hwy (Newcomb),-38.171423,144.395107,bus,VIC
30503,Helms St/Bellarine Hwy (Newcomb),-38.17232,144.39818,bus,VIC
30508,Helms St/Bellarine Hwy (Newcomb),-38.172773,144.399099,bus,VIC
30509,Newcomb Secondary College/Bellarine Hwy (Newcomb),-38.17142,144.39416,bus,VIC
30510,Wilsons Rd/Bellarine Hwy (Newcomb),-38.170509,144.390871,bus,VIC
30511,Bellarine Village Shopping Centre/Bellarine Hwy (Newcomb),-38.169539,144.387367,bus,VIC
30512,Boundary Rd/Ormond Rd (Thomson (3219)),-38.168559,144.384229,bus,VIC
30513,Robertson St/Ormond Rd (Thomson (3219)),-38.166659,144.382277,bus,VIC
30514,Ormond Village SC/Ormond Rd (Thomson (3219)),-38.164869,144.380789,bus,VIC
30515,Lomond Tce/Ormond Rd (East Geelong),-38.162484,144.378489,bus,VIC
30516,Anderson St/Ormond Rd (East Geelong),-38.160578,144.376686,bus,VIC
30517,McKillop St/Ormond Rd (East Geelong),-38.157816,144.374058,bus,VIC
30518,Garden St/Ormond Rd (East Geelong),-38.155515,144.37187,bus,VIC
30519,Fitzroy St/Sydney Pde (Geelong),-38.153721,144.369812,bus,VIC
30520,Geelong Hospital/Ryrie St (Geelong),-38.151081,144.365422,bus,VIC
30521,Argyle St/Ryrie St (Geelong),-38.150479,144.363481,bus,VIC
30522,Fenwick St/Ryrie St (Geelong),-38.148101,144.355078,bus,VIC
30523,Coronation St/Aberdeen St (Geelong West),-38.147176,144.350057,bus,VIC
30524,Pakington St/Aberdeen St (Newtown (3220)),-38.146938,144.347886,bus,VIC
30525,Roebuck St/Pakington St (Newtown (3220)),-38.148645,144.346854,bus,VIC
30526,Virginia St/Pakington St (Newtown (3220)),-38.150045,144.34661,bus,VIC
30527,Noble St/Pakington St (Newtown (3220)),-38.154378,144.345768,bus,VIC
30528,Russell St/Pakington St (Newtown (3220)),-38.157034,144.345284,bus,VIC
30529,West Fyans St/Pakington St (Newtown (3220)),-38.159232,144.344862,bus,VIC
30530,Frier Reserve/West Fyans St (Newtown (3220)),-38.159209,144.341051,bus,VIC
30531,Belfast St/West Fyans St (Newtown (3220)),-38.158908,144.338506,bus,VIC
30532,Bridge St/West Fyans St (Newtown (3220)),-38.158707,144.336813,bus,VIC
30533,Stinton Ave/West Fyans St (Newtown (3220)),-38.158439,144.334517,bus,VIC
30534,Leach-Woods Garden/West Fyans St (Newtown (3220)),-38.158212,144.332471,bus,VIC
30535,Holyrood Ave/West Fyans St (Newtown (3220)),-38.157528,144.32695,bus,VIC
30536,Gairloch Gr/West Fyans St (Newtown (3220)),-38.157063,144.323145,bus,VIC
30537,Gairloch Gr/Ardlui Dr (Newtown (3220)),-38.15566,144.3225,bus,VIC
30538,Camden Rd/Ardlui Dr (Newtown (3220)),-38.154788,144.324552,bus,VIC
30539,Ormskirk St/Camden Rd (Newtown (3220)),-38.154666,144.327911,bus,VIC
30540,Harcourt St/Camden Rd (Newtown (3220)),-38.15513,144.331671,bus,VIC
30541,Noble St/Shannon Ave (Newtown (3220)),-38.152948,144.333964,bus,VIC
30542,St Josephs College/Shannon Ave (Newtown (3220)),-38.150822,144.334384,bus,VIC
30543,Nantes St/Shannon Ave (Newtown (3220)),-38.147493,144.334996,bus,VIC
30544,Fyansford St/Shannon Ave (Newtown (3220)),-38.146022,144.335277,bus,VIC
30545,Silk St/Aberdeen (South) St (Newtown (3220)),-38.145055,144.332369,bus,VIC
30546,Minerva Rd/Aberdeen St (Newtown (3220)),-38.14474,144.329631,bus,VIC
30551,Silk (North) St/Aberdeen St (Newtown (3220)),-38.144884,144.331987,bus,VIC
30553,Pakington St/Aberdeen St (Geelong West),-38.146789,144.347686,bus,VIC
30554,Emerald St/Aberdeen St (Geelong West),-38.147072,144.350232,bus,VIC
30556,Aberdeen St/Shannon Ave (Newtown (3220)),-38.145783,144.335492,bus,VIC
30557,Aphrasia St/Shannon Ave (Newtown (3220)),-38.149282,144.334816,bus,VIC
30558,Mont St/Shannon Ave (Newtown (3220)),-38.153257,144.334078,bus,VIC
30559,Harcourt St/Camden Rd (Newtown (3220)),-38.15521,144.331588,bus,VIC
30560,49 Camden Rd (Newtown (3220)),-38.154905,144.328883,bus,VIC
30561,Camden Rd/Ardlui Dr (Newtown (3220)),-38.154811,144.324779,bus,VIC
30562,Gairloch Gr/Ardlui Dr (Newtown (3220)),-38.155742,144.322531,bus,VIC
